Month,Day,Imsaak,Dawn,Sunrise,Noon,Sunset,Maghrib
6,23,2.11,2.21,4.44,13.03,9.22,9.37
6,24,2.12,2.22,4.44,13.03,9.22,9.37
6,25,2.12,2.22,4.45,13.03,9.22,9.37
6,26,2.13,2.23,4.45,13.04,9.22,9.37
6,27,2.14,2.24,4.45,13.04,9.22,9.37
6,28,2.15,2.25,4.46,13.04,9.22,9.37
6,29,2.16,2.26,4.47,13.04,9.22,9.37
6,30,2.17,2.27,4.47,13.04,9.21,9.36
7,1,2.18,2.28,4.48,13.05,9.21,9.36
7,2,2.19,2.29,4.49,13.05,9.21,9.36
7,3,2.21,2.31,4.49,13.05,9.20,9.35
7,4,2.22,2.32,4.50,13.05,9.20,9.35
7,5,2.23,2.33,4.51,13.05,9.19,9.34
7,6,2.25,2.35,4.52,13.05,9.19,9.34
7,7,2.27,2.37,4.53,13.06,9.18,9.33
7,8,2.28,2.38,4.54,13.06,9.17,9.32
7,9,2.30,2.40,4.55,13.06,9.17,9.32
7,10,2.32,2.42,4.56,13.06,9.16,9.31
7,11,2.34,2.44,4.57,13.06,9.15,9.30
7,12,2.36,2.46,4.58,13.06,9.14,9.29
7,13,2.38,2.48,4.59,13.06,9.13,9.28
7,14,2.40,2.50,5.00,13.07,9.13,9.28
7,15,2.42,2.52,5.01,13.07,9.12,9.27
7,16,2.44,2.54,5.02,13.07,9.11,9.26
7,17,2.46,2.56,5.04,13.07,9.09,9.24
7,18,2.48,2.58,5.05,13.07,9.08,9.23
7,19,2.50,3.00,5.06,13.07,9.07,9.22
7,20,2.52,3.02,5.07,13.07,9.06,9.21
7,21,2.54,3.04,5.09,13.07,9.05,9.20
7,22,2.57,3.07,5.10,13.07,9.03,9.18
7,23,2.59,3.09,5.11,13.07,9.02,9.17
7,24,3.01,3.11,5.13,13.07,9.01,9.16
7,25,3.03,3.13,5.14,13.07,8.59,9.14
7,26,3.06,3.16,5.16,13.07,8.58,9.13
7,27,3.08,3.18,5.17,13.07,8.57,9.12
7,28,3.10,3.20,5.19,13.07,8.55,9.10
7,29,3.12,3.22,5.20,13.07,8.54,9.09
7,30,3.15,3.25,5.21,13.07,8.52,9.07
7,31,3.17,3.27,5.23,13.07,8.50,9.05
8,1,3.19,3.29,5.24,13.07,8.49,9.04
8,2,3.22,3.32,5.26,13.07,8.47,9.02
8,3,3.24,3.34,5.27,13.07,8.45,9.00
8,4,3.26,3.36,5.29,13.07,8.44,8.59
8,5,3.28,3.38,5.31,13.07,8.42,8.57
8,6,3.31,3.41,5.32,13.07,8.40,8.55
8,7,3.33,3.43,5.34,13.06,8.38,8.53
8,8,3.35,3.45,5.35,13.06,8.37,8.52
8,9,3.37,3.47,5.37,13.06,8.35,8.50
8,10,3.39,3.49,5.38,13.06,8.33,8.48
8,11,3.42,3.52,5.40,13.06,8.31,8.46
8,12,3.44,3.54,5.41,13.06,8.29,8.44
8,13,3.46,3.56,5.43,13.05,8.27,8.42
8,14,3.48,3.58,5.45,13.05,8.25,8.40
8,15,3.50,4.00,5.46,13.05,8.23,8.38
8,16,3.53,4.03,5.48,13.05,8.21,8.36
8,17,3.55,4.05,5.49,13.05,8.19,8.34
8,18,3.57,4.07,5.51,13.04,8.17,8.32
8,19,3.59,4.09,5.53,13.04,8.15,8.30
8,20,4.01,4.11,5.54,13.04,8.13,8.28
8,21,4.03,4.13,5.56,13.04,8.11,8.26
8,22,4.05,4.15,5.57,13.04,8.09,8.24
8,23,4.07,4.17,5.59,13.03,8.07,8.22
8,24,4.09,4.19,6.01,13.03,8.05,8.20
8,25,4.11,4.21,6.02,13.03,8.02,8.17
8,26,4.14,4.24,6.04,13.02,8.00,8.15
8,27,4.16,4.26,6.05,13.02,7.58,8.13
8,28,4.18,4.28,6.07,13.02,7.56,8.11
8,29,4.20,4.30,6.08,13.02,7.54,8.09
8,30,4.22,4.32,6.10,13.01,7.51,8.06
8,31,4.23,4.33,6.12,13.01,7.49,8.04
9,1,4.25,4.35,6.13,13.01,7.47,8.02
9,2,4.27,4.37,6.15,13.00,7.45,8.00
9,3,4.29,4.39,6.16,13.00,7.43,7.58
9,4,4.31,4.41,6.18,13.00,7.40,7.55
9,5,4.33,4.43,6.20,12.59,7.38,7.53
9,6,4.35,4.45,6.21,12.59,7.36,7.51
9,7,4.37,4.47,6.23,12.59,7.34,7.49
9,8,4.39,4.49,6.24,12.58,7.31,7.46
9,9,4.41,4.51,6.26,12.58,7.29,7.44
9,10,4.42,4.52,6.28,12.58,7.27,7.42
9,11,4.44,4.54,6.29,12.57,7.24,7.39
9,12,4.46,4.56,6.31,12.57,7.22,7.37
9,13,4.48,4.58,6.32,12.57,7.20,7.35
9,14,4.50,5.00,6.34,12.56,7.17,7.32
9,15,4.52,5.02,6.36,12.56,7.15,7.30
9,16,4.53,5.03,6.37,12.55,7.13,7.28
9,17,4.55,5.05,6.39,12.55,7.11,7.26
9,18,4.57,5.07,6.40,12.55,7.08,7.23
9,19,4.59,5.09,6.42,12.54,7.06,7.21
9,20,5.00,5.10,6.44,12.54,7.04,7.19
9,21,5.02,5.12,6.45,12.54,7.01,7.16
9,22,5.04,5.14,6.47,12.53,6.59,7.14
9,23,5.06,5.16,6.48,12.53,6.57,7.12
9,24,5.07,5.17,6.50,12.53,6.54,7.09
9,25,5.09,5.19,6.52,12.52,6.52,7.07
9,26,5.11,5.21,6.53,12.52,6.50,7.05
9,27,5.12,5.22,6.55,12.52,6.47,7.02
9,28,5.14,5.24,6.56,12.51,6.45,7.00
9,29,5.16,5.26,6.58,12.51,6.43,6.58
9,30,5.17,5.27,7.00,12.51,6.41,6.56
10,1,5.19,5.29,7.01,12.50,6.38,6.53
10,2,5.21,5.31,7.03,12.50,6.36,6.51
10,3,5.23,5.33,7.05,12.50,6.34,6.49
10,4,5.24,5.34,7.06,12.49,6.32,6.47
10,5,5.26,5.36,7.08,12.49,6.29,6.44
10,6,5.27,5.37,7.10,12.49,6.27,6.42
10,7,5.29,5.39,7.11,12.48,6.25,6.40
10,8,5.21,5.41,7.13,12.48,6.23,6.38
10,9,5.32,5.42,7.15,12.48,6.20,6.35
10,10,5.34,5.44,7.16,12.48,6.18,6.33
10,11,5.36,5.46,7.18,12.47,6.16,6.31
10,12,5.37,5.47,7.20,12.47,6.14,6.29
10,13,5.39,5.49,7.21,12.47,6.12,6.27
10,14,5.41,5.51,7.23,12.47,6.09,6.24
10,15,5.42,5.52,7.25,12.46,6.07,6.22
10,16,5.44,5.54,7.26,12.46,6.05,6.20
10,17,5.45,5.55,7.28,12.46,6.03,6.18
10,18,5.47,5.57,7.30,12.46,6.01,6.16
10,19,5.49,5.59,7.31,12.46,5.59,6.14
10,20,5.50,6.00,7.33,12.45,5.57,6.12
10,21,5.52,6.02,7.35,12.45,5.55,6.10
10,22,5.53,6.03,7.37,12.45,5.53,6.08
10,23,5.55,6.05,7.38,12.45,5.51,6.06
10,24,5.57,6.07,7.40,12.45,5.49,6.04
10,25,4.58,5.08,6.42,11.45,4.47,5.02
10,26,5.00,5.10,6.44,11.45,4.45,5.00
10,27,5.01,5.11,6.45,11.44,4.43,4.58
10,28,5.03,5.13,6.47,11.44,4.41,4.56
10,29,5.05,5.15,6.49,11.44,4.39,4.54
10,30,5.06,5.16,6.51,11.44,4.37,4.52
10,31,5.08,5.18,6.52,11.44,4.35,4.51
11,1,5.09,5.19,6.54,11.44,4.33,4.48
11,2,5.11,5.21,6.56,11.44,4.32,4.47
11,3,5.13,5.23,6.58,11.44,4.30,4.45
11,4,5.14,5.24,6.59,11.44,4.28,4.43
11,5,5.16,5.26,7.01,11.44,4.26,4.41
11,6,5.17,5.27,7.03,11.44,4.25,4.40
11,7,5.19,5.29,7.05,11.44,4.23,4.38
11,8,5.20,5.30,7.06,11.44,4.21,4.36
11,9,5.22,5.32,7.08,11.44,4.20,4.35
11,10,5.23,5.33,7.10,11.45,4.18,4.33
11,11,5.25,5.35,7.12,11.45,4.17,4.32
11,12,5.26,5.36,7.13,11.45,4.15,4.30
11,13,5.28,5.38,7.15,11.45,4.14,4.29
11,14,5.29,5.39,7.17,11.45,4.12,4.27
11,15,5.31,5.41,7.19,11.45,4.11,4.26
11,16,5.32,5.42,7.20,11.45,4.10,4.25
11,17,5.34,5.44,7.22,11.46,4.09,4.24
11,18,5.35,5.45,7.24,11.46,4.07,4.22
11,19,5.37,5.47,7.25,11.46,4.06,4.21
11,20,5.38,5.48,7.27,11.46,4.05,4.20
11,21,5.40,5.50,7.29,11.47,4.04,4.19
11,22,5.41,5.51,7.30,11.47,4.03,4.18
11,23,5.42,5.52,7.32,11.47,4.02,4.17
11,24,5.44,5.54,7.34,11.47,4.01,4.16
11,25,5.45,5.55,7.35,11.48,4.00,4.15
11,26,5.46,5.56,7.37,11.48,3.59,4.14
11,27,5.48,5.58,7.38,11.48,3.58,4.13
11,28,5.49,5.59,7.40,11.49,3.57,4.12
11,29,5.50,6.00,7.41,11.49,3.56,4.11
11,30,5.51,6.01,7.43,11.49,3.56,4.11
12,1,5.53,6.03,7.44,11.50,3.55,4.10
12,2,5.54,6.04,7.45,11.50,3.54,4.09
12,3,5.55,6.05,7.47,11.51,3.54,4.09
12,4,5.56,6.06,7.48,11.51,3.53,4.08
12,5,5.57,6.07,7.49,11.51,3.53,4.08
12,6,5.58,6.08,7.51,11.52,3.53,4.08
12,7,5.59,6.09,7.52,11.52,3.52,4.07
12,8,6.00,6.10,7.53,11.53,3.52,4.07
12,9,6.01,6.11,7.54,11.53,3.52,4.07
12,10,6.02,6.12,7.55,11.54,3.52,4.07
12,11,6.03,6.13,7.56,11.54,3.52,4.07
12,12,6.04,6.14,7.57,11.54,3.52,4.07
12,13,6.05,6.15,7.58,11.55,3.52,4.07
12,14,6.06,6.16,7.59,11.55,3.52,4.07
12,15,6.06,6.16,8.00,11.56,3.52,4.07
12,16,6.07,6.17,8.01,11.56,3.52,4.07
12,17,6.08,6.18,8.01,11.57,3.52,4.07
12,18,6.09,6.19,8.02,11.57,3.52,4.07
12,19,6.09,6.19,8.03,11.58,3.53,4.08
12,20,6.10,6.20,8.03,11.58,3.53,4.08
12,21,6.10,6.20,8.04,11.59,3.54,4.09
12,22,6.11,6.21,8.04,11.59,3.54,4.09
12,23,6.11,6.21,8.05,12.00,3.55,4.10
12,24,6.12,6.22,8.05,12.00,3.55,4.10
12,25,6.12,6.22,8.06,12.01,3.56,4.11
12,26,6.12,6.22,8.06,12.01,3.57,4.12
12,27,6.13,6.23,8.06,12.02,3.58,4.12
12,28,6.13,6.23,8.06,12.02,3.59,4.14
12,29,6.13,6.23,8.06,12.03,3.59,4.14
12,30,6.13,6.23,8.06,12.03,4.00,4.15
12,31,6.13,6.23,8.06,12.04,4.01,4.16
